kingdom,phylum,class,subclass,infraclass,subterclass,order,superfamily,family,genus,species,temporary ID
Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Cephalaspidea,Bulloidea,Tornatinidae,Acteocina,Acteocina inculta,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Alciopidae,NA,NA,NA
Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,Neogastropoda,Buccinoidea,Columbellidae,Alia,NA,NA
Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,Neogastropoda,Buccinoidea,Columbellidae,Alia,Alia carinata,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Hyaloidea,Dogielinotidae,Allorchestes,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Hyaloidea,Dogielinotidae,Allorchestes,Allorchestes angusta,NA
Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,Littorinimorpha,Rissooidea,Rissoidae,Alvania,Alvania compacta,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Oedicerotoidea,Oedicerotidae,Americhelidium,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Corophioidea,Corophiidae,Americorophium,Americorophium brevis,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Corophioidea,Corophiidae,Americorophium,Americorophium spinicorne,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Synopioidea,Ampeliscidae,Ampelisca,Ampelisca abdita,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Amphilochoidea,Amphilochidae,NA,NA,NA
Animalia,Echinodermata,Ophiuroidea,Myophiuroida,Metophiurida,NA,Amphilepidida,Amphiuroidea,Amphiuridae,Amphipholis,NA,NA
Animalia,Echinodermata,Ophiuroidea,Myophiuroida,Metophiurida,NA,Amphilepidida,Amphiuroidea,Amphiuridae,Amphipholis,Amphipholis squamata,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Corophioidea,Ampithoidae,Ampithoe,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Corophioidea,Ampithoidae,Ampithoe,Ampithoe lacertosa,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Corophioidea,Ampithoidae,Ampithoe,Ampithoe plumulosa,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Corophioidea,Ampithoidae,Ampithoe,Ampithoe valida,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Gammaroidea,Anisogammaridae,Anisogammarus,Anisogammarus pugettensis,NA
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,NA,Terebellida,NA,Ampharetidae,Anobothrus,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Aoroidea,Aoridae,NA,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Aoroidea,Aoridae,Aoroides,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Aoroidea,Aoridae,Aoroides,Aoroides columbiae,NA
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,NA,Terebellida,NA,Cirratulidae,Aphelochaeta,Aphelochaeta monilaris,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Amphilochoidea,Amphilochidae,Apolochus,Apolochus barnardi,NA
Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,Mytilida,Mytiloidea,Mytilidae,Arcuatula,Arcuatula senhousia,NA
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,NA,NA,NA,Opheliidae,Armandia,Armandia brevis,NA
Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,Littorinimorpha,Truncatelloidea,Assimineidae,Assiminea,Assiminea californica,NA
Animalia,Echinodermata,Asteroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,Neogastropoda,Buccinoidea,Columbellidae,Astyris,NA,NA
Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,Neogastropoda,Buccinoidea,Columbellidae,Astyris,Astyris gausapata,NA
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,NA,NA,NA,Maldanidae,Axiothella,Axiothella rubrocincta,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Aoroidea,Aoridae,Bemlos,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Aoroidea,Aoridae,Bemlos,Bemlos macromanus,NA
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,NA,Spionida,NA,Spionidae,Boccardiella,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Decapoda,NA,NA,NA,NA,NA
Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,Littorinimorpha,Truncatelloidea,Caecidae,Caecum,Caecum californicum,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Calliopioidea,Calliopiidae,Calliopius,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Calliopioidea,Calliopiidae,Calliopius,Calliopius carinatus,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Cumacea,NA,Nannastacidae,Campylaspis,Campylaspis canaliculata,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Decapoda,Cancroidea,Cancridae,Cancer,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Decapoda,Cancroidea,Cancridae,Cancer,Cancer branneri,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Caprelloidea,Caprellidae,Caprella,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Caprelloidea,Caprellidae,Caprella,Caprella californica,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Caprelloidea,Caprellidae,Caprella,Caprella laeviuscula,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Caprelloidea,Caprellidae,Caprella,Caprella mutica,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Caprelloidea,Caprellidae,Caprella,Caprella penantis,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Decapoda,NA,NA,NA,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Decapoda,NA,NA,NA,NA,NA
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Venerida,Veneroidea,Veneridae,Chione,Chione undatella,NA
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,NA,Terebellida,NA,Cirratulidae,NA,NA,NA
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,NA,Terebellida,NA,Cirratulidae,Cirriformia,Cirriformia moorei,NA
Animalia,Cnidaria,Hydrozoa,Hydroidolina,NA,NA,Anthoathecata,NA,Cladonematidae,Cladonema,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Corophioidea,Corophiidae,NA,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Decapoda,Crangonoidea,Crangonidae,Crangon,Crangon franciscorum,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Decapoda,Crangonoidea,Crangonidae,Crangon,Crangon nigricauda,NA
