"SampleDate","SampleId","Region","SiteCode","TidalHeight","Transect","Blade","BrokenTip","Location","Year","Prevalence","LesionArea","HealthyArea","BladeArea","Severity"
"2019-07-14","AK.A.1.U.1","AK","A","U",1,1,"N","Alaska",2019,0,0,2.397097229,3.74,0
"2019-07-14","AK.A.1.U.2","AK","A","U",1,2,"N","Alaska",2019,0,0,3.695781075,5.02,0
"2019-07-14","AK.A.1.U.3","AK","A","U",1,3,"N","Alaska",2019,1,0.057887872,3.538171456,4.4,0.0131563345454545
"2019-07-14","AK.A.1.U.4","AK","A","U",1,4,"N","Alaska",2019,1,0.2190390784,3.278089517,4.24,0.05166016
"2019-07-14","AK.A.1.U.5","AK","A","U",1,5,"N","Alaska",2019,0,0,2.664082566,3.76,0
"2019-07-14","AK.A.1.U.6","AK","A","U",1,6,"N","Alaska",2019,1,0.085753152,3.497002752,4.5,0.019056256
"2019-07-14","AK.A.1.U.7","AK","A","U",1,7,"N","Alaska",2019,0,0,0.73034,1.353,0
"2019-07-14","AK.A.1.U.8","AK","A","U",1,8,"N","Alaska",2019,0,0,2.99679401,2.99679401,0
"2019-07-14","AK.A.1.U.9","AK","A","U",1,9,"N","Alaska",2019,1,0.430923072,2.810330342,3.864,0.111522534161491
"2019-07-14","AK.A.1.U.10","AK","A","U",1,10,"N","Alaska",2019,0,0,0.605126016,2.261,0
"2019-07-14","AK.A.1.U.11","AK","A","U",1,11,"N","Alaska",2019,0,0,0.8612888384,1.54,0
"2019-07-14","AK.A.1.U.12","AK","A","U",1,12,"N","Alaska",2019,1,0.447462464,5.597217894,7.95,0.0562845866666667
"2019-07-14","AK.A.1.U.13","AK","A","U",1,13,"Y","Alaska",2019,0,0,0.523507712,1.416,0
"2019-07-14","AK.A.1.U.14","AK","A","U",1,14,"N","Alaska",2019,1,0.210877248,1.965311232,3.12,0.0675888615384615
"2019-07-14","AK.A.1.U.15","AK","A","U",1,15,"N","Alaska",2019,0,0,3.479222906,3.479222906,0
"2019-07-14","AK.A.2.U.1","AK","A","U",2,1,"N","Alaska",2019,0,0,2.219802138,3.02,0
"2019-07-14","AK.A.2.U.2","AK","A","U",2,2,"N","Alaska",2019,0,0,6.994167302,7.83,0
"2019-07-14","AK.A.2.U.3","AK","A","U",2,3,"N","Alaska",2019,0,0,3.703853018,6.87,0
"2019-07-14","AK.A.2.U.4","AK","A","U",2,4,"N","Alaska",2019,0,0,5.233333293,7.77,0
"2019-07-14","AK.A.2.U.5","AK","A","U",2,5,"N","Alaska",2019,1,0.055550784,4.381320896,5.79,0.00959426321243523
"2019-07-14","AK.A.2.U.6","AK","A","U",2,6,"N","Alaska",2019,1,0.327012544,6.65530752,9.88,0.0330984356275304
"2019-07-14","AK.A.2.U.7","AK","A","U",2,7,"N","Alaska",2019,1,0.0764048,3.57125024,4.18,0.0182786602870813
"2019-07-14","AK.A.2.U.8","AK","A","U",2,8,"N","Alaska",2019,0,0,4.566813773,6.84,0
"2019-07-14","AK.A.2.U.9","AK","A","U",2,9,"N","Alaska",2019,0,0,4.719749216,5.37,0
"2019-07-14","AK.A.2.U.10","AK","A","U",2,10,"N","Alaska",2019,1,0.127820736,5.286115526,7.02,0.0182080820512821
"2019-07-14","AK.A.2.U.11","AK","A","U",2,11,"Y","Alaska",2019,1,0.3230934272,2.526697747,3.64,0.0887619305494505
"2019-07-14","AK.A.2.U.12","AK","A","U",2,12,"N","Alaska",2019,1,0.103910528,6.301688128,10.17,0.0102173577187807
"2019-07-14","AK.A.2.U.13","AK","A","U",2,13,"Y","Alaska",2019,0,0,0.0764048,2.92,0
"2019-07-14","AK.A.2.U.14","AK","A","U",2,14,"N","Alaska",2019,0,0,1.978165216,3.68,0
"2019-07-14","AK.A.2.U.15","AK","A","U",2,15,"N","Alaska",2019,0,0,3.493227456,6.81,0
"2019-07-14","AK.A.3.U.1","AK","A","U",3,1,"N","Alaska",2019,0,0,0.576721408,2.58,0
"2019-07-14","AK.A.3.U.2","AK","A","U",3,2,"N","Alaska",2019,1,1.252535347,4.829502464,6.082037811,0.205940078954238
"2019-07-14","AK.A.3.U.3","AK","A","U",3,3,"N","Alaska",2019,0,0,0.463642304,0.73,0
"2019-07-14","AK.A.3.U.4","AK","A","U",3,4,"N","Alaska",2019,0,0,5.089638336,5.82,0
"2019-07-14","AK.A.3.U.5","AK","A","U",3,5,"N","Alaska",2019,0,0,4.4539504,5.13,0
"2019-07-14","AK.A.3.U.6","AK","A","U",3,6,"N","Alaska",2019,1,0.247731328,2.04816999,3.72,0.0665944430107527
"2019-07-14","AK.A.3.U.7","AK","A","U",3,7,"N","Alaska",2019,1,0.250427968,4.803434944,6.64,0.0377150554216868
"2019-07-14","AK.A.3.U.8","AK","A","U",3,8,"N","Alaska",2019,0,0,3.131230502,3.225,0
"2019-07-14","AK.A.3.U.9","AK","A","U",3,9,"N","Alaska",2019,0,0,2.669799443,3.135,0
"2019-07-14","AK.A.3.U.10","AK","A","U",3,10,"N","Alaska",2019,0,0,0.356675584,1.51,0
"2019-07-14","AK.A.3.U.11","AK","A","U",3,11,"N","Alaska",2019,1,0.099595904,2.455919936,4.46,0.0223309201793722
"2019-07-14","AK.A.3.U.12","AK","A","U",3,12,"N","Alaska",2019,1,0.280270784,2.585196858,4.22,0.0664148777251185
"2019-07-14","AK.A.3.U.13","AK","A","U",3,13,"N","Alaska",2019,1,0.645036288,4.487676378,6.3,0.102386712380952
"2019-07-14","AK.A.3.U.14","AK","A","U",3,14,"N","Alaska",2019,0,0,0.360360992,1.43,0
"2019-07-14","AK.A.3.U.15","AK","A","U",3,15,"N","Alaska",2019,0,0,2.391380352,2.391380352,0
"2019-07-14","AK.A.4.L.1","AK","A","L",4,1,"N","Alaska",2019,1,8.176913606,14.31435838,22.491271986,0.363559411450354
"2019-07-14","AK.A.4.L.2","AK","A","L",4,2,"N","Alaska",2019,1,8.140023571,6.483010202,19.6,0.41530732505102
"2019-07-14","AK.A.4.L.3","AK","A","L",4,3,"N","Alaska",2019,1,4.009939635,9.947761139,17.8,0.22527750758427
"2019-07-14","AK.A.4.L.4","AK","A","L",4,4,"Y","Alaska",2019,1,1.445578816,10.43817209,17.55,0.0823691633048433
"2019-07-14","AK.A.4.L.5","AK","A","L",4,5,"N","Alaska",2019,1,7.583544941,7.879348371,21.08,0.359750708776091
"2019-07-14","AK.A.4.L.6","AK","A","L",4,6,"N","Alaska",2019,1,14.68895763,9.672793747,31.7,0.463374057728707
"2019-07-14","AK.A.4.L.7","AK","A","L",4,7,"N","Alaska",2019,1,4.729403187,3.640517933,10.6,0.446170111981132
"2019-07-14","AK.A.4.L.8","AK","A","L",4,8,"N","Alaska",2019,1,1.021846784,23.84798753,27.28,0.037457726686217
"2019-07-14","AK.A.4.L.9","AK","A","L",4,9,"N","Alaska",2019,1,6.041102816,19.09848538,25.139588196,0.240302377624515
"2019-07-14","AK.A.4.L.10","AK","A","L",4,10,"N","Alaska",2019,1,12.97784966,8.553022976,28,0.463494630714286
"2019-07-14","AK.A.4.L.11","AK","A","L",4,11,"N","Alaska",2019,1,5.232182726,6.511738406,17.8,0.293942849775281
"2019-07-14","AK.A.4.L.12","AK","A","L",4,12,"Y","Alaska",2019,1,6.656835616,7.566645997,17.79,0.374189747948286
"2019-07-14","AK.A.4.L.13","AK","A","L",4,13,"N","Alaska",2019,1,2.51858985,21.06863259,28.55,0.0882168073555166
"2019-07-14","AK.A.4.L.14","AK","A","L",4,14,"N","Alaska",2019,1,5.117863168,16.67174309,26.6,0.192400870977444
"2019-07-14","AK.A.4.L.15","AK","A","L",4,15,"Y","Alaska",2019,1,3.426890112,5.485505088,10.56,0.324516109090909
"2019-07-14","AK.A.5.L.1","AK","A","L",5,1,"Y","Alaska",2019,1,1.981491072,31.55435543,33.535846502,0.0590857628085168
"2019-07-14","AK.A.5.L.2","AK","A","L",5,2,"Y","Alaska",2019,1,0.2558751808,26.59323896,30.144,0.00848842823779193
