"SampleDate","SampleId","Region","SiteCode","TidalHeight","Transect","Blade","BrokenTip","PrevalenceHand","Year","Prevalence","LesionArea","HealthyArea","BladeArea","Severity"
"2021-07-21","AK.A.4.L.1","AK","A","L",4,1,"Y","1",2021,1,3.247833216,9.7007309376,14.652,0.221664838656839
"2021-07-21","AK.A.4.L.2","AK","A","L",4,2,"N","1",2021,1,2.342840832,9.8014594304,13.664,0.171460833723653
"2021-07-21","AK.A.4.L.3","AK","A","L",4,3,"N","1",2021,1,4.4613032384,8.53306784,15.516,0.287529211033772
"2021-07-21","AK.A.4.L.4","AK","A","L",4,4,"N","1",2021,1,1.699242752,5.845236864,10.197,0.166641438854565
"2021-07-21","AK.A.4.L.5","AK","A","L",4,5,"N","1",2021,1,3.185450944,6.907623136,11.174,0.285077048863433
"2021-07-21","AK.A.4.L.6","AK","A","L",4,6,"N","1",2021,1,5.9288866368,4.261050752,11.988,0.494568454854855
"2021-07-21","AK.A.4.L.7","AK","A","L",4,7,"N","1",2021,1,0.5903484288,4.246129344,5.365,0.110036985796831
"2021-07-21","AK.A.4.L.8","AK","A","L",4,8,"N","1",2021,1,2.8933688768,4.0938410944,7.967,0.363169182477721
"2021-07-21","AK.A.4.L.9","AK","A","L",4,9,"N","1",2021,1,1.7696430336,1.5470443904,4.004,0.44196878961039
"2021-07-21","AK.A.4.L.10","AK","A","L",4,10,"N","1",2021,1,3.201451008,4.3224083008,9.952,0.321689209003215
"2021-07-21","AK.A.4.L.11","AK","A","L",4,11,"N","1",2021,0,0,5.2222051584,5.832,0
"2021-07-21","AK.A.4.L.12","AK","A","L",4,12,"N","1",2021,1,3.6143605248,3.05439424,7.781,0.464511055751189
"2021-07-21","AK.A.4.L.13","AK","A","L",4,13,"N","1",2021,1,4.4312806464,8.2257227904,14.96,0.296208599358289
"2021-07-21","AK.A.4.L.14","AK","A","L",4,14,"Y","1",2021,1,0.192540096,11.3090969216,11.5016370176,0.0167402340819287
"2021-07-21","AK.A.4.L.15","AK","A","L",4,15,"N","1",2021,1,2.3685488,5.242537824,7.611086624,0.311197193910692
"2021-07-21","AK.A.5.L.1","AK","A","L",5,1,"N","1",2021,1,2.2476853952,8.8696444672,12.573,0.178770810085103
"2021-07-21","AK.A.5.L.2","AK","A","L",5,2,"N","1",2021,1,0.093123968,14.9947386304,16.762,0.00555565970647894
"2021-07-21","AK.A.5.L.3","AK","A","L",5,3,"N","1",2021,1,6.9526750016,10.9484303104,18.624,0.373318030584192
"2021-07-21","AK.A.5.L.4","AK","A","L",5,4,"Y","1",2021,1,4.9829592576,5.202268,11.656,0.427501652161977
"2021-07-21","AK.A.5.L.5","AK","A","L",5,5,"N","1",2021,1,14.3294595648,21.6621270976,37.814,0.378945881546517
"2021-07-21","AK.A.5.L.6","AK","A","L",5,6,"N","1",2021,1,6.6357658688,9.0740857344,17.277,0.384080909231927
"2021-07-21","AK.A.5.L.7","AK","A","L",5,7,"Y","1",2021,1,5.9364012736,25.6188170816,32.292,0.183835045014245
"2021-07-21","AK.A.5.L.8","AK","A","L",5,8,"N","1",2021,1,1.109757248,14.6224584896,15.7322157376,0.0705404290476185
"2021-07-21","AK.A.5.L.9","AK","A","L",5,9,"N","1",2021,1,2.5572057344,7.8314740224,10.3886797568,0.24615310070812
"2021-07-21","AK.A.5.L.10","AK","A","L",5,10,"N","1",2021,1,3.7370216896,14.9110169472,19.512,0.191524276834768
"2021-07-21","AK.A.5.L.11","AK","A","L",5,11,"N","1",2021,1,0.5903124736,16.6078686784,18.24,0.0323636224561404
"2021-07-21","AK.A.5.L.12","AK","A","L",5,12,"N","1",2021,1,0.8859001728,12.9550001344,14.123,0.0627274780712313
"2021-07-21","AK.A.5.L.13","AK","A","L",5,13,"Y","1",2021,1,1.1817934912,17.5400611712,20.07,0.0588835820229198
"2021-07-21","AK.A.5.L.14","AK","A","L",5,14,"N","1",2021,1,0.451417536,5.9903340736,6.966,0.064802976744186
"2021-07-21","AK.A.5.L.15","AK","A","L",5,15,"Y","1",2021,0,0,2.5612866496,2.5612866496,0
"2021-07-21","AK.A.6.L.1","AK","A","L",6,1,"N","1",2021,1,2.85484288,2.491515584,5.346358464,0.533978950200074
"2021-07-21","AK.A.6.L.2","AK","A","L",6,2,"N","1",2021,1,0.255102144,11.0218688064,11.2769709504,0.0226215129153056
"2021-07-21","AK.A.6.L.3","AK","A","L",6,3,"N","1",2021,1,0.727913024,9.2686932544,9.9966062784,0.0728160141279972
"2021-07-21","AK.A.6.L.4","AK","A","L",6,4,"N","1",2021,1,0.746250176,4.4168626112,5.1631127872,0.144534935949888
"2021-07-21","AK.A.6.L.5","AK","A","L",6,5,"N","1",2021,1,2.749134592,3.0433559936,5.7924905856,0.474603204161313
"2021-07-21","AK.A.6.L.6","AK","A","L",6,6,"N","1",2021,0,0,9.7091983872,9.7183669632,0
"2021-07-21","AK.A.6.L.7","AK","A","L",6,7,"N","1",2021,1,0.9760218816,5.5442558848,6.5202777664,0.14969023047294
"2021-07-21","AK.A.6.L.8","AK","A","L",6,8,"N","1",2021,1,2.1546333376,7.894952928,10.0495862656,0.214400203217855
"2021-07-21","AK.A.6.L.9","AK","A","L",6,9,"N","1",2021,1,1.13798208,4.5275327168,5.6655147968,0.200861196345786
"2021-07-21","AK.A.6.L.10","AK","A","L",6,10,"N","1",2021,1,1.1110336576,4.4496537536,5.5606874112,0.199801494930685
"2021-07-21","AK.A.6.L.11","AK","A","L",6,11,"Y","1",2021,1,0.7620165312,8.8337432,9.5957597312,0.0794117977675443
"2021-07-21","AK.A.6.L.12","AK","A","L",6,12,"N","1",2021,1,0.8465292288,3.5350433536,4.3815725824,0.193202146690519
"2021-07-21","AK.A.6.L.13","AK","A","L",6,13,"N","1",2021,1,0.495642432,3.1609834304,3.6566258624,0.135546389116957
"2021-07-21","AK.A.6.L.14","AK","A","L",6,14,"N","1",2021,0,0,0.498339072,0.498339072,0
"2021-07-21","AK.A.6.L.15","AK","A","L",6,15,"N","1",2021,1,0.215371648,3.309496384,3.524868032,0.061100627326975
"2021-07-21","AK.A.1.U.1","AK","A","U",1,1,"N","1",2021,1,2.2338785984,1.0437435008,3.46,0.645629652716763
"2021-07-21","AK.A.1.U.2","AK","A","U",1,2,"Y","1",2021,1,0.1918749248,2.762977344,3.475,0.0552158056978417
"2021-07-21","AK.A.1.U.3","AK","A","U",1,3,"N","1",2021,1,0.4725591936,7.22789408,7.7004532736,0.0613677113294236
"2021-07-21","AK.A.1.U.4","AK","A","U",1,4,"N","1",2021,0,0,2.319469952,2.667,0
"2021-07-21","AK.A.1.U.5","AK","A","U",1,5,"N","1",2021,1,1.30382544,3.564149088,5.88,0.221739020408163
"2021-07-21","AK.A.1.U.6","AK","A","U",1,6,"N","1",2021,1,0.1637220032,3.9250314304,4.862,0.0336737974496092
"2021-07-21","AK.A.1.U.7","AK","A","U",1,7,"N","1",2021,0,0,2.822303424,3.586,0
"2021-07-21","AK.A.1.U.8","AK","A","U",1,8,"N","1",2021,0,0,0.8115268416,1.47,0
"2021-07-21","AK.A.1.U.9","AK","A","U",1,9,"N","1",2021,0,0,3.6210841472,4.18,0
"2021-07-21","AK.A.1.U.10","AK","A","U",1,10,"N","1",2021,1,0.3685408,3.9155033024,4.853,0.0759408201112714
"2021-07-21","AK.A.1.U.11","AK","A","U",1,11,"N","1",2021,1,0.030202368,1.1326427328,1.935,0.0156084589147287
"2021-07-21","AK.A.1.U.12","AK","A","U",1,12,"N","1",2021,1,0.0628137344,1.063734592,1.736,0.0361830267281106
"2021-07-21","AK.A.1.U.13","AK","A","U",1,13,"N","1",2021,0,0,3.0135311552,3.717,0
"2021-07-21","AK.A.1.U.14","AK","A","U",1,14,"N","1",2021,0,0,2.0734105408,2.862,0
"2021-07-21","AK.A.1.U.15","AK","A","U",1,15,"N","1",2021,0,0,2.9407398528,4.032,0
"2021-07-21","AK.A.2.U.1","AK","A","U",2,1,"N","1",2021,1,0.4971525504,3.135023776,4.278,0.116211442356241
"2021-07-21","AK.A.2.U.2","AK","A","U",2,2,"Y","1",2021,1,1.209263264,7.105017184,8.314280448,0.145444127313614
"2021-07-21","AK.A.2.U.3","AK","A","U",2,3,"N","1",2021,0,0,7.5061693504,7.956,0
"2021-07-21","AK.A.2.U.4","AK","A","U",2,4,"N","1",2021,1,2.219694272,5.4988804224,8.142,0.272622730533039
"2021-07-21","AK.A.2.U.5","AK","A","U",2,5,"N","1",2021,0,0,3.9099841792,3.9099841792,0
"2021-07-21","AK.A.2.U.6","AK","A","U",2,6,"Y","1",2021,1,1.9791899392,2.4344007488,4.704,0.420746160544218
