"region","site_code","transect","quadrat_meter","taxon_id","abundance_5.6","abundance_4.0","abundance_2.8","abundance_2.0","abundance_1.4","abundance_1.0","abundance_0.71","abundance_0.5","taxon_abundance_total","year","quadrat_unique_code","transect_unique_code","site_unique_code"
"AK","A","L4","m4","Pentidotea resecata",1,NA,NA,1,3,2,NA,NA,7,"2019","AK.A.L4.m4.2019","AK.A.L4.2019","AK.A.2019"
"AK","A","L4","m4","Caridea",1,NA,NA,1,NA,NA,NA,NA,2,"2019","AK.A.L4.m4.2019","AK.A.L4.2019","AK.A.2019"
"AK","A","L4","m4","Lottia pelta",NA,NA,2,NA,NA,NA,NA,NA,2,"2019","AK.A.L4.m4.2019","AK.A.L4.2019","AK.A.2019"
"AK","A","L4","m4","Caprella laeviuscula",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.A.L4.m4.2019","AK.A.L4.2019","AK.A.2019"
"AK","A","L4","m4","Leptochelia sp.",NA,NA,NA,NA,1,1,NA,NA,2,"2019","AK.A.L4.m4.2019","AK.A.L4.2019","AK.A.2019"
"AK","A","L4","m16","Polynoid A",NA,NA,NA,1,NA,NA,NA,NA,1,"2019","AK.A.L4.m16.2019","AK.A.L4.2019","AK.A.2019"
"AK","A","L4","m16","Pentidotea sp.",NA,NA,NA,1,1,1,NA,NA,3,"2019","AK.A.L4.m16.2019","AK.A.L4.2019","AK.A.2019"
"AK","A","L4","m16","Caridea",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.A.L4.m16.2019","AK.A.L4.2019","AK.A.2019"
"AK","A","L4","m16","Platynereis bicanaliculata",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.A.L4.m16.2019","AK.A.L4.2019","AK.A.2019"
"AK","A","L4","m16","Lacuna vincta",NA,NA,NA,NA,2,NA,NA,1,3,"2019","AK.A.L4.m16.2019","AK.A.L4.2019","AK.A.2019"
"AK","A","L4","m16","bivalve A",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.A.L4.m16.2019","AK.A.L4.2019","AK.A.2019"
"AK","A","L4","m16","Caprella laeviuscula",NA,NA,NA,NA,NA,NA,NA,1,1,"2019","AK.A.L4.m16.2019","AK.A.L4.2019","AK.A.2019"
"AK","A","L5","m4","Pentidotea resecata",1,NA,NA,1,3,5,NA,NA,10,"2019","AK.A.L5.m4.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m4","Caprella laeviuscula",NA,1,4,3,9,5,2,5,29,"2019","AK.A.L5.m4.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m4","Lacuna vincta",NA,NA,1,2,3,4,9,30,49,"2019","AK.A.L5.m4.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m4","Ampithoe lacertosa",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.A.L5.m4.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m4","Aoroides sp.",NA,NA,NA,NA,1,NA,1,2,4,"2019","AK.A.L5.m4.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m4","Eusiroid",NA,NA,NA,NA,1,1,2,1,5,"2019","AK.A.L5.m4.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m4","Polynoid C",NA,NA,NA,NA,1,NA,1,NA,2,"2019","AK.A.L5.m4.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m4","Alvania compacta",NA,NA,NA,NA,NA,1,2,17,20,"2019","AK.A.L5.m4.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m4","Caridea",NA,NA,NA,NA,NA,1,1,NA,2,"2019","AK.A.L5.m4.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m4","Leptochelia sp.",NA,NA,NA,NA,NA,NA,1,3,4,"2019","AK.A.L5.m4.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m4","bivalve A",NA,NA,NA,NA,NA,NA,NA,1,1,"2019","AK.A.L5.m4.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m16","Pentidotea resecata",1,NA,NA,2,2,8,1,NA,14,"2019","AK.A.L5.m16.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m16","Hippolyte clarki",4,NA,NA,NA,NA,1,NA,NA,5,"2019","AK.A.L5.m16.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m16","Caprella laeviuscula",NA,2,2,7,14,9,7,9,50,"2019","AK.A.L5.m16.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m16","Polynoid A",NA,NA,NA,1,2,NA,1,1,5,"2019","AK.A.L5.m16.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m16","Eusiroid",NA,NA,NA,NA,1,NA,3,3,7,"2019","AK.A.L5.m16.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m16","Lacuna vincta",NA,NA,1,NA,NA,7,14,59,81,"2019","AK.A.L5.m16.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m16","Leptochelia sp.",NA,NA,NA,NA,4,NA,4,37,45,"2019","AK.A.L5.m16.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m16","Alvania compacta",NA,NA,NA,NA,NA,3,10,NA,13,"2019","AK.A.L5.m16.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m16","bivalve A",NA,NA,NA,NA,NA,1,NA,NA,1,"2019","AK.A.L5.m16.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m16","gastropod B",NA,NA,NA,NA,NA,1,NA,NA,1,"2019","AK.A.L5.m16.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m16","Aoroides sp.",NA,NA,NA,NA,NA,1,NA,NA,1,"2019","AK.A.L5.m16.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m16","Ampithoe lacertosa",NA,NA,NA,NA,NA,1,2,NA,3,"2019","AK.A.L5.m16.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m16","Mytilidae",NA,NA,NA,NA,NA,NA,NA,1,1,"2019","AK.A.L5.m16.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L5","m16","Pandalus stenolepis",NA,NA,1,NA,NA,NA,NA,NA,1,"2019","AK.A.L5.m16.2019","AK.A.L5.2019","AK.A.2019"
"AK","A","L6","m4","Pentidotea resecata",1,NA,NA,NA,3,NA,1,1,6,"2019","AK.A.L6.m4.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m4","Caprella laeviuscula",NA,NA,2,4,NA,11,9,5,31,"2019","AK.A.L6.m4.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m4","Lottia pelta",NA,NA,1,NA,NA,NA,NA,NA,1,"2019","AK.A.L6.m4.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m4","Leptochelia sp.",NA,NA,NA,1,2,1,4,8,16,"2019","AK.A.L6.m4.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m4","Hippolyte californiensis",NA,NA,NA,NA,1,1,NA,NA,2,"2019","AK.A.L6.m4.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m4","Lacuna vincta",NA,NA,NA,NA,1,1,16,56,74,"2019","AK.A.L6.m4.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m4","Polynoid A",NA,NA,NA,NA,1,NA,1,NA,2,"2019","AK.A.L6.m4.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m4","Alvania compacta",NA,NA,NA,NA,NA,2,3,8,13,"2019","AK.A.L6.m4.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m4","Aoroides sp.",NA,NA,NA,NA,NA,1,NA,NA,1,"2019","AK.A.L6.m4.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m4","Platynereis bicanaliculata",NA,NA,NA,NA,NA,1,NA,NA,1,"2019","AK.A.L6.m4.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m4","bivalve A",NA,NA,NA,NA,NA,NA,1,NA,1,"2019","AK.A.L6.m4.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m4","Eusiroid",NA,NA,NA,NA,NA,NA,1,3,4,"2019","AK.A.L6.m4.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m16","Caprella laeviuscula",NA,2,1,7,13,11,1,3,38,"2019","AK.A.L6.m16.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m16","Lacuna vincta",NA,NA,NA,NA,11,17,43,24,95,"2019","AK.A.L6.m16.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m16","Pentidotea sp.",NA,NA,NA,NA,5,NA,NA,NA,5,"2019","AK.A.L6.m16.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m16","bivalve A",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.A.L6.m16.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m16","Leptochelia sp.",NA,NA,NA,NA,NA,3,7,4,14,"2019","AK.A.L6.m16.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m16","Mytilidae",NA,NA,NA,NA,NA,1,NA,1,2,"2019","AK.A.L6.m16.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","L6","m16","Alvania compacta",NA,NA,NA,NA,NA,2,5,4,11,"2019","AK.A.L6.m16.2019","AK.A.L6.2019","AK.A.2019"
"AK","A","U1","m4","Brachyura",1,NA,NA,NA,NA,NA,NA,NA,1,"2019","AK.A.U1.m4.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m4","Leptochelia sp.",NA,NA,2,9,3,12,117,59,202,"2019","AK.A.U1.m4.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m4","Platynereis bicanaliculata",NA,NA,1,NA,NA,NA,NA,NA,1,"2019","AK.A.U1.m4.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m4","Monocorophium sp.",NA,NA,1,1,NA,NA,1,NA,3,"2019","AK.A.U1.m4.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m4","Alvania compacta",NA,NA,NA,1,NA,3,18,26,48,"2019","AK.A.U1.m4.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m4","Pentidotea resecata",NA,NA,NA,1,2,2,NA,NA,5,"2019","AK.A.U1.m4.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m4","Polynoid A",NA,NA,NA,1,2,1,2,NA,6,"2019","AK.A.U1.m4.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m4","Caprella laeviuscula",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.A.U1.m4.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m4","Heterophoxus sp.",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.A.U1.m4.2019","AK.A.U1.2019","AK.A.2019"
